isMusic,orientation,batteryLevel,usingPhone,reachability,rotation.m31,rotation.m21,rotation.m11,rotation.m33,rotation.m23,rotation.m13,rotation.m32,rotation.m22,rotation.m12,attitude.x,attitude.y,attitude.z,rotationRate.x,rotationRate.y,rotationRate.z,acceleration.x,acceleration.y,acceleration.z,accelerometer.x,accelerometer.y,accelerometer.z,gravity.x,gravity.y,gravity.z,gyroscope.x,gyroscope.y,gyroscope.z,magneticField.x,magneticField.y,magneticField.z
Not playing,Portrait,0.349999994,FALSE,Connected,-0.75017935,0.25064075,0.611890554,0.449819863,-0.484823376,0.750072181,0.484657496,0.837929249,0.250961363,-0.50616121,-1.030595884,-0.290648539,-0.001332841,-0.001445073,-0.00086389,-0.00390929,0.002343297,-0.001902223,-0.753982544,0.487167358,-0.451721191,-0.750072181,0.484823376,-0.449819863,-0.009342901,0.005832057,-0.011203386,0,0,0
Not playing,Portrait,0.349999994,FALSE,Connected,-0.750542343,0.250258178,0.611602068,0.450372159,-0.48356545,0.750552714,0.483581603,0.838770092,0.250227004,-0.504723526,-1.030337116,-0.289954519,-0.001797738,0.001092503,0.000623102,-0.004162371,0.002366006,-0.002020299,-0.754714966,0.485931396,-0.452392578,-0.750552714,0.48356545,-0.450372159,-0.009041432,0.006977482,-0.00808589,0,0,0
Not playing,Portrait,0.349999994,FALSE,Connected,-0.750503182,0.250479877,0.611559212,0.450083166,-0.48387742,0.750524879,0.483911097,0.838523924,0.250414848,-0.505079966,-1.030603925,-0.290277679,-0.00020905,-0.000589971,0.000841108,-0.004265547,0.002404392,-0.001302958,-0.75479126,0.486282349,-0.451385498,-0.750524879,0.48387742,-0.450083166,-0.008218781,0.006443252,-0.009627061,0,0,0
Not playing,Portrait,0.170000002,TRUE,Connected,0.001948864,2.35E-05,0.999998093,0.999865115,0.016306525,-0.001948988,-0.01630654,0.999867022,8.30E-06,0.016307248,0.001949248,-2.35E-05,-0.00039041,-0.000970745,-0.001181513,0.00102639,-0.000370247,-0.012509763,0.002975464,-0.016616821,-1.012542725,0.001948988,-0.016306525,-0.999865115,-0.000251402,-0.003701794,-0.000387756,0,0,0
Not playing,Portrait,0.560000002,TRUE,Connected,0.047041591,-0.339516371,0.939423084,0.998892486,0.016892988,-0.043914232,-0.000960061,0.940448403,0.339935035,0.016893792,0.043934632,0.346454209,0.00024845,-0.000613017,-0.000699741,0.001434889,-0.001005571,0.027716339,0.043121338,-0.018554688,-0.970184326,0.043914232,-0.016892988,-0.998892486,-0.013293169,0.012828713,-0.004670386,49.27753448,-17.75046921,62.7305603
Not playing,Portrait,0.589999974,TRUE,Connected,0.188710898,-0.407734275,0.893387377,0.764024734,0.632506728,0.127285063,-0.61697197,0.658549964,0.43088001,0.684785275,-0.165081938,0.55437391,0.142091304,-0.049420901,0.009572024,0.001735702,0.001311541,0.030824721,-0.125793457,-0.633178711,-0.731338501,-0.127285048,-0.632506728,-0.764024734,0.127238378,-0.044524059,0.005379852,50.14009857,-34.04158783,-2.042755127
